raceId,round,circuitId,name,date,time,driverStandingsId,driverId,points,wins,driverRef
989,1,1,Australian Grand Prix,25/03/2018,05:10:00,68610,1,18.0,0,hamilton
989,1,1,Australian Grand Prix,25/03/2018,05:10:00,68612,817,12.0,0,ricciardo
989,1,1,Australian Grand Prix,25/03/2018,05:10:00,68613,4,10.0,0,alonso
989,1,1,Australian Grand Prix,25/03/2018,05:10:00,68614,830,8.0,0,max_verstappen
989,1,1,Australian Grand Prix,25/03/2018,05:10:00,68615,807,6.0,0,hulkenberg
989,1,1,Australian Grand Prix,25/03/2018,05:10:00,68616,822,4.0,0,bottas
989,1,1,Australian Grand Prix,25/03/2018,05:10:00,68618,832,1.0,0,sainz
989,1,1,Australian Grand Prix,25/03/2018,05:10:00,68619,815,0.0,0,perez
989,1,1,Australian Grand Prix,25/03/2018,05:10:00,68620,839,0.0,0,ocon
989,1,1,Australian Grand Prix,25/03/2018,05:10:00,68621,844,0.0,0,leclerc
989,1,1,Australian Grand Prix,25/03/2018,05:10:00,68622,840,0.0,0,stroll
989,1,1,Australian Grand Prix,25/03/2018,05:10:00,68625,825,0.0,0,kevin_magnussen
989,1,1,Australian Grand Prix,25/03/2018,05:10:00,68626,842,0.0,2,gasly
990,2,3,Bahrain Grand Prix,08/04/2018,15:10:00,68690,1,33.0,0,hamilton
990,2,3,Bahrain Grand Prix,08/04/2018,15:10:00,68692,817,12.0,0,ricciardo
990,2,3,Bahrain Grand Prix,08/04/2018,15:10:00,68693,4,16.0,0,alonso
990,2,3,Bahrain Grand Prix,08/04/2018,15:10:00,68694,830,8.0,0,max_verstappen
990,2,3,Bahrain Grand Prix,08/04/2018,15:10:00,68695,807,14.0,0,hulkenberg
990,2,3,Bahrain Grand Prix,08/04/2018,15:10:00,68696,822,22.0,0,bottas
990,2,3,Bahrain Grand Prix,08/04/2018,15:10:00,68698,832,1.0,0,sainz
990,2,3,Bahrain Grand Prix,08/04/2018,15:10:00,68699,815,0.0,0,perez
990,2,3,Bahrain Grand Prix,08/04/2018,15:10:00,68700,839,1.0,0,ocon
990,2,3,Bahrain Grand Prix,08/04/2018,15:10:00,68701,844,0.0,0,leclerc
990,2,3,Bahrain Grand Prix,08/04/2018,15:10:00,68702,840,0.0,0,stroll
990,2,3,Bahrain Grand Prix,08/04/2018,15:10:00,68705,825,10.0,0,kevin_magnussen
