raceId;year;round;circuitId;name;date;time;;;;;;;;;;;
989;2018;1;1;Australian Grand Prix;25/03/2018;05:10:00;;;;;;;;;;;
990;2018;2;3;Bahrain Grand Prix;08/04/2018;15:10:00;;;;;;;;;;;
991;2018;3;17;Chinese Grand Prix;15/04/2018;06:10:00;;;;;;;;;;;
992;2018;4;73;Azerbaijan Grand Prix;29/04/2018;12:10:00;;;;;;;;;;;
993;2018;5;4;Spanish Grand Prix;13/05/2018;13:10:00;;;;;;;;;;;
994;2018;6;6;Monaco Grand Prix;27/05/2018;13:10:00;;;;;;;;;;;
995;2018;7;7;Canadian Grand Prix;10/06/2018;18:10:00;;;;;;;;;;;
996;2018;8;34;French Grand Prix;24/06/2018;14:10:00;;;;;;;;;;;
997;2018;9;70;Austrian Grand Prix;01/07/2018;13:10:00;;;;;;;;;;;
998;2018;10;9;British Grand Prix;08/07/2018;13:10:00;;;;;;;;;;;
999;2018;11;10;German Grand Prix;22/07/2018;13:10:00;;;;;;;;;;;
1000;2018;12;11;Hungarian Grand Prix;29/07/2018;13:10:00;;;;;;;;;;;
1001;2018;13;13;Belgian Grand Prix;26/08/2018;13:10:00;;;;;;;;;;;
1002;2018;14;14;Italian Grand Prix;02/09/2018;13:10:00;;;;;;;;;;;
1003;2018;15;15;Singapore Grand Prix;16/09/2018;12:10:00;;;;;;;;;;;
1004;2018;16;71;Russian Grand Prix;30/09/2018;11:10:00;;;;;;;;;;;
1005;2018;17;22;Japanese Grand Prix;07/10/2018;05:10:00;;;;;;;;;;;
1006;2018;18;69;United States Grand Prix;21/10/2018;18:10:00;;;;;;;;;;;
1007;2018;19;32;Mexican Grand Prix;28/10/2018;19:10:00;;;;;;;;;;;
1008;2018;20;18;Brazilian Grand Prix;11/11/2018;17:10:00;;;;;;;;;;;
1009;2018;21;24;Abu Dhabi Grand Prix;25/11/2018;13:10:00;;;;;;;;;;;
1010;2019;1;1;Australian Grand Prix;17/03/2019;05:10:00;;;;;;;;;;;
1011;2019;2;3;Bahrain Grand Prix;31/03/2019;15:10:00;;;;;;;;;;;
1012;2019;3;17;Chinese Grand Prix;14/04/2019;06:10:00;;;;;;;;;;;
1013;2019;4;73;Azerbaijan Grand Prix;28/04/2019;12:10:00;;;;;;;;;;;
1014;2019;5;4;Spanish Grand Prix;12/05/2019;13:10:00;;;;;;;;;;;
1015;2019;6;6;Monaco Grand Prix;26/05/2019;13:10:00;;;;;;;;;;;
1016;2019;7;7;Canadian Grand Prix;09/06/2019;18:10:00;;;;;;;;;;;
1017;2019;8;34;French Grand Prix;23/06/2019;13:10:00;;;;;;;;;;;
1018;2019;9;70;Austrian Grand Prix;30/06/2019;13:10:00;;;;;;;;;;;
1019;2019;10;9;British Grand Prix;14/07/2019;13:10:00;;;;;;;;;;;
1020;2019;11;10;German Grand Prix;28/07/2019;13:10:00;;;;;;;;;;;
1021;2019;12;11;Hungarian Grand Prix;04/08/2019;13:10:00;;;;;;;;;;;
1022;2019;13;13;Belgian Grand Prix;01/09/2019;13:10:00;;;;;;;;;;;
1023;2019;14;14;Italian Grand Prix;08/09/2019;13:10:00;;;;;;;;;;;
1024;2019;15;15;Singapore Grand Prix;22/09/2019;12:10:00;;;;;;;;;;;
